#  z    nz
0.005 0.0009
0.015 0.0043
0.025 0.0076
0.035 0.0114
0.045 0.0150
0.055 0.0227
0.065 0.0342
0.075 0.0405
0.085 0.0441
0.095 0.0472
0.105 0.0507
0.115 0.0554
0.125 0.0587
0.135 0.0613
0.145 0.0650
0.155 0.0805
0.165 0.1065
0.175 0.1164
0.185 0.1179
0.195 0.1194
0.205 0.1224
0.215 0.1273
0.225 0.1308
0.235 0.1329
0.245 0.1344
0.255 0.1362
0.265 0.1393
0.275 0.1414
0.285 0.1432
0.295 0.1496
0.305 0.1690
0.315 0.1933
0.325 0.2132
0.335 0.2211
0.345 0.2279
0.355 0.2380
0.365 0.2436
0.375 0.2446
0.385 0.2462
0.395 0.2520
0.405 0.2873
0.415 0.3443
0.425 0.3702
0.435 0.3693
0.445 0.3657
0.455 0.3854
0.465 0.4531
0.475 0.4931
0.485 0.5001
0.495 0.5002
0.505 0.5631
0.515 0.7823
0.525 0.8524
0.535 0.8567
0.545 0.8595
0.555 0.9687
0.565 1.3679
0.575 1.4715
0.585 1.4677
0.595 1.4700
0.605 1.5774
0.615 1.8853
0.625 1.9670
0.635 1.9688
0.645 1.9709
0.655 2.0419
0.665 2.2613
0.675 2.3283
0.685 2.3314
0.695 2.3259
0.705 2.3308
0.715 2.3520
0.725 2.3547
0.735 2.3496
0.745 2.3487
0.755 2.3340
0.765 2.2619
0.775 2.2450
0.785 2.2413
0.795 2.2371
0.805 2.2171
0.815 2.1298
0.825 2.1092
0.835 2.1051
0.845 2.1009
0.855 2.0227
0.865 1.6993
0.875 1.6327
0.885 1.6273
0.895 1.6197
0.905 1.5888
0.915 1.4687
0.925 1.4248
0.935 1.4219
0.945 1.4160
0.955 1.3299
0.965 1.0103
0.975 0.9232
0.985 0.9180
0.995 0.9201
1.005 0.7970
1.015 0.4272
1.025 0.3338
1.035 0.3293
1.045 0.3257
1.055 0.2914
1.065 0.1848
1.075 0.1539
1.085 0.1520
1.095 0.1511
1.105 0.1464
1.115 0.1315
1.125 0.1273
1.135 0.1266
1.145 0.1256
1.155 0.1123
1.165 0.0719
1.175 0.0609
1.185 0.0602
1.195 0.0596
1.205 0.0578
1.215 0.0536
1.225 0.0519
1.235 0.0508
1.245 0.0487
1.255 0.0418
1.265 0.0279
1.275 0.0214
1.285 0.0199
1.295 0.0190
1.305 0.0173
1.315 0.0145
1.325 0.0128
1.335 0.0123
1.345 0.0124
1.355 0.0131
1.365 0.0147
1.375 0.0155
1.385 0.0159
1.395 0.0166
1.405 0.0191
1.415 0.0245
1.425 0.0271
1.435 0.0266
1.445 0.0251
1.455 0.0231
1.465 0.0209
1.475 0.0187
1.485 0.0174
1.495 0.0159
1.505 0.0140
1.515 0.0121
1.525 0.0103
1.535 0.0093
1.545 0.0089
1.555 0.0088
1.565 0.0089
1.575 0.0090
1.585 0.0090
1.595 0.0090
1.605 0.0090
1.615 0.0089
1.625 0.0086
1.635 0.0082
1.645 0.0075
1.655 0.0068
1.665 0.0061
1.675 0.0054
1.685 0.0049
1.695 0.0047
1.705 0.0048
1.715 0.0050
1.725 0.0051
1.735 0.0052
1.745 0.0051
1.755 0.0050
1.765 0.0047
1.775 0.0044
1.785 0.0043
1.795 0.0042
1.805 0.0042
1.815 0.0042
1.825 0.0042
1.835 0.0042
1.845 0.0040
1.855 0.0037
1.865 0.0034
1.875 0.0032
1.885 0.0029
1.895 0.0028
1.905 0.0029
1.915 0.0030
1.925 0.0031
1.935 0.0031
1.945 0.0031
1.955 0.0030
1.965 0.0029
1.975 0.0028
1.985 0.0028
1.995 0.0027
